Experiment Accession	Experiment Aliases	File Accession	File Aliases	Submitted File Name	Date Created	Run Type	Read Length	Paired End	Bio Rep Num	Tech Rep Num	Replicate Aliases	Library Accession	Library Aliases
ENCSR464DKE	['bradley-bernstein:Project Element 23']	ENCFF002ATZ	['bradley-bernstein:Rep_DNA_Lib 418_SE']	Libraries/004/18/bradley-bernstein_Rep_DNA_Lib_418.fastq.gz	2014-03-19	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 418']	ENCLB415QBM	['bradley-bernstein:DNA_Lib 418']
ENCSR464DKE	['bradley-bernstein:Project Element 23']	ENCFF002AXG	['bradley-bernstein:Rep_DNA_Lib 4484_SE']	Libraries/044/84/bradley-bernstein_Rep_DNA_Lib_4484.fastq.gz	2014-03-20	single-ended	37		1	1	['bradley-bernstein:Rep_DNA_Lib 4484']	ENCLB938OTD	['bradley-bernstein:DNA_Lib 4484']
ENCSR559IFS	['bradley-bernstein:Project Element 1478']	ENCFF922JKP	['bradley-bernstein:Rep_DNA_Lib 6825_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/25/bradley-bernstein_Rep_DNA_Lib_6825.1.fastq.gz	2015-12-11T14:54:36.268446+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6825']	ENCLB404EIB	['bradley-bernstein:DNA_Lib 6825']
ENCSR559IFS	['bradley-bernstein:Project Element 1478']	ENCFF012JFB	['bradley-bernstein:Rep_DNA_Lib 6174_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/74/bradley-bernstein_Rep_DNA_Lib_6174.1.fastq.gz	2015-12-11T16:36:40.373980+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6174']	ENCLB672RPF	['bradley-bernstein:DNA_Lib 6174']
ENCSR559IFS	['bradley-bernstein:Project Element 1478']	ENCFF481MOE	['bradley-bernstein:Rep_DNA_Lib 6825_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/25/bradley-bernstein_Rep_DNA_Lib_6825.2.fastq.gz	2015-12-11T17:19:28.847721+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6825']	ENCLB404EIB	['bradley-bernstein:DNA_Lib 6825']
ENCSR559IFS	['bradley-bernstein:Project Element 1478']	ENCFF617UKO	['bradley-bernstein:Rep_DNA_Lib 6174_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/74/bradley-bernstein_Rep_DNA_Lib_6174.2.fastq.gz	2015-12-11T17:34:52.182981+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6174']	ENCLB672RPF	['bradley-bernstein:DNA_Lib 6174']
ENCSR634OAQ	['bradley-bernstein:Project Element 1474']	ENCFF855LSJ	['bradley-bernstein:Rep_DNA_Lib 6823_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/23/bradley-bernstein_Rep_DNA_Lib_6823.1.fastq.gz	2015-12-10T17:55:47.889391+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6823']	ENCLB683XWX	['bradley-bernstein:DNA_Lib 6823']
ENCSR634OAQ	['bradley-bernstein:Project Element 1474']	ENCFF983UPK	['bradley-bernstein:Rep_DNA_Lib 6823_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/23/bradley-bernstein_Rep_DNA_Lib_6823.2.fastq.gz	2015-12-11T14:52:48.514646+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6823']	ENCLB683XWX	['bradley-bernstein:DNA_Lib 6823']
ENCSR634OAQ	['bradley-bernstein:Project Element 1474']	ENCFF733LFK	['bradley-bernstein:Rep_DNA_Lib 6170_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/70/bradley-bernstein_Rep_DNA_Lib_6170.1.fastq.gz	2015-12-11T15:26:01.686250+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6170']	ENCLB567QTM	['bradley-bernstein:DNA_Lib 6170']
ENCSR634OAQ	['bradley-bernstein:Project Element 1474']	ENCFF601GHH	['bradley-bernstein:Rep_DNA_Lib 6170_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/70/bradley-bernstein_Rep_DNA_Lib_6170.2.fastq.gz	2015-12-11T16:27:29.186430+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6170']	ENCLB567QTM	['bradley-bernstein:DNA_Lib 6170']
ENCSR082NQB	['bradley-bernstein:Project Element 1487']	ENCFF614PIK	['bradley-bernstein:Rep_DNA_Lib 6819_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/19/bradley-bernstein_Rep_DNA_Lib_6819.1.fastq.gz	2015-12-10T18:53:48.454471+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6819']	ENCLB943KMV	['bradley-bernstein:DNA_Lib 6819']
ENCSR082NQB	['bradley-bernstein:Project Element 1487']	ENCFF805ITK	['bradley-bernstein:Rep_DNA_Lib 6819_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/19/bradley-bernstein_Rep_DNA_Lib_6819.2.fastq.gz	2015-12-11T14:31:35.503650+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6819']	ENCLB943KMV	['bradley-bernstein:DNA_Lib 6819']
ENCSR082NQB	['bradley-bernstein:Project Element 1487']	ENCFF579RDE	['bradley-bernstein:Rep_DNA_Lib 6183_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/83/bradley-bernstein_Rep_DNA_Lib_6183.1.fastq.gz	2015-12-11T14:40:39.085866+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6183']	ENCLB665NED	['bradley-bernstein:DNA_Lib 6183']
ENCSR082NQB	['bradley-bernstein:Project Element 1487']	ENCFF725UIG	['bradley-bernstein:Rep_DNA_Lib 6183_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/83/bradley-bernstein_Rep_DNA_Lib_6183.2.fastq.gz	2015-12-11T17:00:04.598046+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6183']	ENCLB665NED	['bradley-bernstein:DNA_Lib 6183']
ENCSR955IXZ	['bradley-bernstein:Project Element 1501']	ENCFF075DLG	['bradley-bernstein:Rep_DNA_Lib 6112_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/12/bradley-bernstein_Rep_DNA_Lib_6112.1.fastq.gz	2015-12-11T16:24:40.840310+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6112']	ENCLB562GLZ	['bradley-bernstein:DNA_Lib 6112']
ENCSR955IXZ	['bradley-bernstein:Project Element 1501']	ENCFF551ZSP	['bradley-bernstein:Rep_DNA_Lib 6112_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/12/bradley-bernstein_Rep_DNA_Lib_6112.2.fastq.gz	2015-12-11T17:21:44.727875+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6112']	ENCLB562GLZ	['bradley-bernstein:DNA_Lib 6112']
ENCSR955IXZ	['bradley-bernstein:Project Element 1501']	ENCFF631XET	['bradley-bernstein:Rep_DNA_Lib 6112_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/061/12/bradley-bernstein_Rep_DNA_Lib_6112.fastq.gz	2016-02-23T02:57:43.743436+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 6112']	ENCLB562GLZ	['bradley-bernstein:DNA_Lib 6112']
ENCSR955IXZ	['bradley-bernstein:Project Element 1501']	ENCFF931NFG	['bradley-bernstein:Rep_DNA_Lib 6965_SE_replacement']	/seq/epiprod/ENCODE/Submissions/Libraries/069/65/bradley-bernstein_Rep_DNA_Lib_6965.fastq.gz	2016-02-24T03:21:13.051512+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 6965']	ENCLB067SIE	['bradley-bernstein:DNA_Lib 6965']
ENCSR976JHS	['bradley-bernstein:Project Element 1506']	ENCFF362KNB	['bradley-bernstein:Rep_DNA_Lib 6108_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/08/bradley-bernstein_Rep_DNA_Lib_6108.1.fastq.gz	2015-12-11T16:55:15.919056+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6108']	ENCLB901WMW	['bradley-bernstein:DNA_Lib 6108']
ENCSR976JHS	['bradley-bernstein:Project Element 1506']	ENCFF212RJL	['bradley-bernstein:Rep_DNA_Lib 6108_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/08/bradley-bernstein_Rep_DNA_Lib_6108.2.fastq.gz	2015-12-11T17:29:16.167816+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6108']	ENCLB901WMW	['bradley-bernstein:DNA_Lib 6108']
ENCSR976JHS	['bradley-bernstein:Project Element 1506']	ENCFF167NLZ	['bradley-bernstein:Rep_DNA_Lib 6108_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/061/08/bradley-bernstein_Rep_DNA_Lib_6108.fastq.gz	2016-02-23T03:04:36.084674+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 6108']	ENCLB901WMW	['bradley-bernstein:DNA_Lib 6108']
ENCSR976JHS	['bradley-bernstein:Project Element 1506']	ENCFF491RBF	['bradley-bernstein:Rep_DNA_Lib 6962_SE_replacement']	/seq/epiprod/ENCODE/Submissions/Libraries/069/62/bradley-bernstein_Rep_DNA_Lib_6962.fastq.gz	2016-02-24T04:40:31.955185+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 6962']	ENCLB424YQO	['bradley-bernstein:DNA_Lib 6962']
ENCSR198WIH	['bradley-bernstein:Project Element 443']	ENCFF413RQG	['bradley-bernstein:Rep_DNA_Lib 3764_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/037/64/bradley-bernstein_Rep_DNA_Lib_3764.fastq.gz	2014-10-27T03:57:23.336544+00:00	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 3764']	ENCLB149OYB	['bradley-bernstein:DNA_Lib 3764']
ENCSR198WIH	['bradley-bernstein:Project Element 443']	ENCFF048ZOQ	['bradley-bernstein:Rep_DNA_Lib 6195_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/95/bradley-bernstein_Rep_DNA_Lib_6195.1.fastq.gz	2015-12-18T19:28:25.999219+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6195']	ENCLB497WAJ	['bradley-bernstein:DNA_Lib 6195']
ENCSR198WIH	['bradley-bernstein:Project Element 443']	ENCFF827YXC	['bradley-bernstein:Rep_DNA_Lib 6195_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/95/bradley-bernstein_Rep_DNA_Lib_6195.2.fastq.gz	2015-12-18T19:29:50.383985+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6195']	ENCLB497WAJ	['bradley-bernstein:DNA_Lib 6195']
ENCSR888RBQ	['bradley-bernstein:Project Element 2167']	ENCFF295VZD	['bradley-bernstein:Rep_DNA_Lib 7449_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/074/49/bradley-bernstein_Rep_DNA_Lib_7449.fastq.gz	2016-03-18T15:46:28.524466+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7449']	ENCLB250SXQ	['bradley-bernstein:DNA_Lib 7449']
ENCSR978CNH	['bradley-bernstein:Project Element 475']	ENCFF868FPZ	['bradley-bernstein:Rep_DNA_Lib 7115_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/071/15/bradley-bernstein_Rep_DNA_Lib_7115.fastq.gz	2015-05-22T14:56:59.765022+00:00	single-ended	76		3	1	['bradley-bernstein:Rep_DNA_Lib 7115']	ENCLB800FFG	['bradley-bernstein:DNA_Lib 7115']
ENCSR978CNH	['bradley-bernstein:Project Element 475']	ENCFF746KLI	['bradley-bernstein:Rep_DNA_Lib 6550_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/50/bradley-bernstein_Rep_DNA_Lib_6550.1.fastq.gz	2015-12-10T18:18:48.048675+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6550']	ENCLB471YFP	['bradley-bernstein:DNA_Lib 6550']
ENCSR978CNH	['bradley-bernstein:Project Element 475']	ENCFF775HCY	['bradley-bernstein:Rep_DNA_Lib 6550_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/50/bradley-bernstein_Rep_DNA_Lib_6550.2.fastq.gz	2015-12-11T15:18:57.442395+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6550']	ENCLB471YFP	['bradley-bernstein:DNA_Lib 6550']
ENCSR978CNH	['bradley-bernstein:Project Element 475']	ENCFF805WOH	['bradley-bernstein:Rep_DNA_Lib 6555_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/55/bradley-bernstein_Rep_DNA_Lib_6555.1.fastq.gz	2015-12-11T16:13:35.976068+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6555']	ENCLB691SDO	['bradley-bernstein:DNA_Lib 6555']
ENCSR978CNH	['bradley-bernstein:Project Element 475']	ENCFF223YYU	['bradley-bernstein:Rep_DNA_Lib 6555_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/55/bradley-bernstein_Rep_DNA_Lib_6555.2.fastq.gz	2016-01-20T16:52:28.449576+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6555']	ENCLB691SDO	['bradley-bernstein:DNA_Lib 6555']
ENCSR099LGH	['bradley-bernstein:Project Element 2336']	ENCFF198OWI	['bradley-bernstein:Rep_DNA_Lib 7586_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/075/86/bradley-bernstein_Rep_DNA_Lib_7586.fastq.gz	2016-03-18T15:42:09.839200+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7586']	ENCLB346ISX	['bradley-bernstein:DNA_Lib 7586']
ENCSR901MQY	['bradley-bernstein:Project Element 1025']	ENCFF116NHT	['bradley-bernstein:Rep_DNA_Lib 5963_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/059/63/bradley-bernstein_Rep_DNA_Lib_5963.fastq.gz	2016-02-26T14:35:36.857769+00:00	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 5963']	ENCLB439CXI	['bradley-bernstein:DNA_Lib 5963']
ENCSR901MQY	['bradley-bernstein:Project Element 1025']	ENCFF630KZQ	['bradley-bernstein:Rep_DNA_Lib 7400_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/074/00/bradley-bernstein_Rep_DNA_Lib_7400.fastq.gz	2016-03-03T01:52:09.372764+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 7400']	ENCLB816FJX	['bradley-bernstein:DNA_Lib 7400']
ENCSR787VQB	['bradley-bernstein:Project Element 2267']	ENCFF214KMN	['bradley-bernstein:Rep_DNA_Lib 6983_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/069/83/bradley-bernstein_Rep_DNA_Lib_6983.fastq.gz	2016-03-03T06:32:51.264262+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 6983']	ENCLB165ISA	['bradley-bernstein:DNA_Lib 6983']
ENCSR787VQB	['bradley-bernstein:Project Element 2267']	ENCFF920WNX	['bradley-bernstein:Rep_DNA_Lib 7316_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/073/16/bradley-bernstein_Rep_DNA_Lib_7316.fastq.gz	2016-03-03T12:24:14.309223+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 7316']	ENCLB039UAN	['bradley-bernstein:DNA_Lib 7316']
ENCSR787VQB	['bradley-bernstein:Project Element 2267']	ENCFF343EVP	['bradley-bernstein:Rep_DNA_Lib 7007_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/070/07/bradley-bernstein_Rep_DNA_Lib_7007.fastq.gz	2016-03-03T12:31:42.370848+00:00	single-ended	76		1	2	['bradley-bernstein:Rep_DNA_Lib 7007']	ENCLB973LVG	['bradley-bernstein:DNA_Lib 7007']
ENCSR661KMA	['bradley-bernstein:Project Element 435']	ENCFF623IJZ	['bradley-bernstein:Rep_DNA_Lib 3760_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/037/60/bradley-bernstein_Rep_DNA_Lib_3760.fastq.gz	2014-10-24T17:23:42.279739+00:00	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 3760']	ENCLB033YIR	['bradley-bernstein:DNA_Lib 3760']
ENCSR661KMA	['bradley-bernstein:Project Element 435']	ENCFF082JPN	['bradley-bernstein:Rep_DNA_Lib 6272_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/062/72/bradley-bernstein_Rep_DNA_Lib_6272.1.fastq.gz	2015-12-11T14:46:22.469372+00:00	paired-ended	76	1	2	2	['bradley-bernstein:Rep_DNA_Lib 6272']	ENCLB519USV	['bradley-bernstein:DNA_Lib 6272']
ENCSR661KMA	['bradley-bernstein:Project Element 435']	ENCFF176BXC	['bradley-bernstein:Rep_DNA_Lib 6272_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/062/72/bradley-bernstein_Rep_DNA_Lib_6272.2.fastq.gz	2015-12-11T16:23:14.115657+00:00	paired-ended	76	2	2	2	['bradley-bernstein:Rep_DNA_Lib 6272']	ENCLB519USV	['bradley-bernstein:DNA_Lib 6272']
ENCSR661KMA	['bradley-bernstein:Project Element 435']	ENCFF451NHC	['bradley-bernstein:Rep_DNA_Lib 5767_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/057/67/bradley-bernstein_Rep_DNA_Lib_5767.1.fastq.gz	2016-02-24T04:29:34.022803+00:00	paired-ended	25	1	2	1	['bradley-bernstein:Rep_DNA_Lib 5767']	ENCLB411IZW	['bradley-bernstein:DNA_Lib 5767']
ENCSR661KMA	['bradley-bernstein:Project Element 435']	ENCFF806CFE	['bradley-bernstein:Rep_DNA_Lib 5767_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/057/67/bradley-bernstein_Rep_DNA_Lib_5767.2.fastq.gz	2016-02-24T04:31:12.865690+00:00	paired-ended	25	2	2	1	['bradley-bernstein:Rep_DNA_Lib 5767']	ENCLB411IZW	['bradley-bernstein:DNA_Lib 5767']
ENCSR011CSR	['bradley-bernstein:Project Element 1489']	ENCFF246JEN	['bradley-bernstein:Rep_DNA_Lib 6817_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/17/bradley-bernstein_Rep_DNA_Lib_6817.1.fastq.gz	2015-12-10T18:37:40.393830+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6817']	ENCLB575BDT	['bradley-bernstein:DNA_Lib 6817']
