dataset	output_type	file_format	file_format_type	assembly	md5sum	lab	award	aliases	submitted_file_name
ENCSR566ICL	semi-automated genome annotation	bigBed	bed9	hg19	99144bf45aa051ebcbecd41067bea6c9	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E030_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E030_15_coreMarks_mnemonics.bed.gz
ENCSR584EPI	semi-automated genome annotation	bigBed	bed9	hg19	27eb8f2940e7576b56440d82e561aebe	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E045_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E045_15_coreMarks_mnemonics.bed.gz
ENCSR711QHB	semi-automated genome annotation	bigBed	bed9	hg19	75dcd0e8c2395e7ede86947267cb3bbc	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E070_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E070_15_coreMarks_mnemonics.bed.gz
ENCSR581XSQ	semi-automated genome annotation	bigBed	bed9	hg19	f163a8bb58e56b1aaba6b16458663650	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E114_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E114_15_coreMarks_mnemonics.bed.gz
ENCSR639MZU	semi-automated genome annotation	bigBed	bed9	hg19	757d442864fb65735470a6a024c0bd7c	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E094_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E094_15_coreMarks_mnemonics.bed.gz
ENCSR134JXC	semi-automated genome annotation	bigBed	bed9	hg19	79ccff7d9e33af9e1da41a25fb5a5b89	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E123_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E123_15_coreMarks_mnemonics.bed.gz
ENCSR545CCD	semi-automated genome annotation	bigBed	bed9	hg19	2f74495de35f0896c033a769a06d8bfd	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E106_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E106_15_coreMarks_mnemonics.bed.gz
ENCSR430SFD	semi-automated genome annotation	bigBed	bed9	hg19	e1004decfe360d6a61f96fad9c6bc622	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E016_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E016_15_coreMarks_mnemonics.bed.gz
ENCSR854BAY	semi-automated genome annotation	bigBed	bed9	hg19	c2a262383da53bc833c963bcfcf866d6	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E097_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E097_15_coreMarks_mnemonics.bed.gz
ENCSR832JVI	semi-automated genome annotation	bigBed	bed9	hg19	566976ba90238dc2d12c6523d39f5f81	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E033_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E033_15_coreMarks_mnemonics.bed.gz
ENCSR249PPX	semi-automated genome annotation	bigBed	bed9	hg19	fa5bb1e4f0a2413262529facbafe15e0	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E090_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E090_15_coreMarks_mnemonics.bed.gz
ENCSR233WUB	semi-automated genome annotation	bigBed	bed9	hg19	3616ca8a6e2f0986439537b71f8f7df7	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E085_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E085_15_coreMarks_mnemonics.bed.gz
ENCSR848QNS	semi-automated genome annotation	bigBed	bed9	hg19	b0b0fc32a1efc5f0150b446bc2c38898	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E127_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E127_15_coreMarks_mnemonics.bed.gz
ENCSR410MBM	semi-automated genome annotation	bigBed	bed9	hg19	580456f7ca43b9445885847d8ea82242	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E061_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E061_15_coreMarks_mnemonics.bed.gz
ENCSR810TOW	semi-automated genome annotation	bigBed	bed9	hg19	81c79a3110f13666d8bea1f299bead60	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E014_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E014_15_coreMarks_mnemonics.bed.gz
