File Accession	Annotation	Cell Line	Target	Experiment Accession	Experiment Aliases	Biosample Accession	Biosample Aliases	Library Accession	Library Aliases	Lab	Submitted Name
ENCFF002BSW		K562	/targets/SF1-human/	ENCSR628JYB	['brenton-graveley:K-SF1']	ENCBS731WGV	['brenton-graveley:BGK0018A-7', 'brenton-graveley:K-SF1-1']	ENCLB133OFF	['brenton-graveley:lib-K-SF1-1']	/labs/brenton-graveley/	set6/tophat/novel_juncs/K-SF1-1/merged.bam
ENCFF002BSX		K562	/targets/SF1-human/	ENCSR628JYB	['brenton-graveley:K-SF1']	ENCBS356NKY	['brenton-graveley:BGK0018A-8', 'brenton-graveley:K-SF1-2']	ENCLB015DKN	['brenton-graveley:lib-K-SF1-2']	/labs/brenton-graveley/	set6/tophat/novel_juncs/K-SF1-2/merged.bam
ENCFF564AXS	V19	K562	/targets/SF1-human/	ENCSR628JYB	['brenton-graveley:K-SF1']	ENCBS731WGV	['brenton-graveley:BGK0018A-7', 'brenton-graveley:K-SF1-1']	ENCLB133OFF	['brenton-graveley:lib-K-SF1-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR628JYB/rep1_1/ENCSR628JYB_rep1_1_tophat.bam
ENCFF885FEM	V19	K562	/targets/SF1-human/	ENCSR628JYB	['brenton-graveley:K-SF1']	ENCBS356NKY	['brenton-graveley:BGK0018A-8', 'brenton-graveley:K-SF1-2']	ENCLB015DKN	['brenton-graveley:lib-K-SF1-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR628JYB/rep2_1/ENCSR628JYB_rep2_1_tophat.bam
ENCFF662GTG	V19	K562	/targets/SF1-human/	ENCSR628JYB	['brenton-graveley:K-SF1']	ENCBS731WGV	['brenton-graveley:BGK0018A-7', 'brenton-graveley:K-SF1-1']	ENCLB133OFF	['brenton-graveley:lib-K-SF1-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR628JYB/rep1_1/ENCSR628JYB_rep1_1_star_genome.bam
ENCFF512DLG	V19	K562	/targets/SF1-human/	ENCSR628JYB	['brenton-graveley:K-SF1']	ENCBS731WGV	['brenton-graveley:BGK0018A-7', 'brenton-graveley:K-SF1-1']	ENCLB133OFF	['brenton-graveley:lib-K-SF1-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR628JYB/rep1_1/ENCSR628JYB_rep1_1_star_anno.bam
ENCFF839ECS	V19	K562	/targets/SF1-human/	ENCSR628JYB	['brenton-graveley:K-SF1']	ENCBS356NKY	['brenton-graveley:BGK0018A-8', 'brenton-graveley:K-SF1-2']	ENCLB015DKN	['brenton-graveley:lib-K-SF1-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR628JYB/rep2_1/ENCSR628JYB_rep2_1_star_genome.bam
ENCFF387CQV	V19	K562	/targets/SF1-human/	ENCSR628JYB	['brenton-graveley:K-SF1']	ENCBS356NKY	['brenton-graveley:BGK0018A-8', 'brenton-graveley:K-SF1-2']	ENCLB015DKN	['brenton-graveley:lib-K-SF1-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR628JYB/rep2_1/ENCSR628JYB_rep2_1_star_anno.bam
ENCFF782PSZ		K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS602RSX	['brenton-graveley:CSDA_BGKLV24_12_17603']	ENCLB646XGP	['brenton-graveley:L-CSDA_BGKLV24_12_17603']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set24/tophat/novel_juncs/CSDA_BGKLV24_12_17603/merged.bam
ENCFF983UEX		K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS889HVK	['brenton-graveley:CSDA_BGKLV24_11_17602']	ENCLB057EUN	['brenton-graveley:L-CSDA_BGKLV24_11_17602']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set24/tophat/novel_juncs/CSDA_BGKLV24_11_17602/merged.bam
ENCFF048SVW	V19	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS889HVK	['brenton-graveley:CSDA_BGKLV24_11_17602']	ENCLB057EUN	['brenton-graveley:L-CSDA_BGKLV24_11_17602']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR306EIU/rep1_1/ENCSR306EIU_rep1_1_star_genome.bam
ENCFF894HDB	V19	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS889HVK	['brenton-graveley:CSDA_BGKLV24_11_17602']	ENCLB057EUN	['brenton-graveley:L-CSDA_BGKLV24_11_17602']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR306EIU/rep1_1/ENCSR306EIU_rep1_1_star_anno.bam
ENCFF507VIL	V19	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS602RSX	['brenton-graveley:CSDA_BGKLV24_12_17603']	ENCLB646XGP	['brenton-graveley:L-CSDA_BGKLV24_12_17603']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR306EIU/rep2_1/ENCSR306EIU_rep2_1_star_genome.bam
ENCFF777YYI	V19	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS602RSX	['brenton-graveley:CSDA_BGKLV24_12_17603']	ENCLB646XGP	['brenton-graveley:L-CSDA_BGKLV24_12_17603']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR306EIU/rep2_1/ENCSR306EIU_rep2_1_star_anno.bam
ENCFF742QLR	V19	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS889HVK	['brenton-graveley:CSDA_BGKLV24_11_17602']	ENCLB057EUN	['brenton-graveley:L-CSDA_BGKLV24_11_17602']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR306EIU/rep1_1/ENCSR306EIU_rep1_1_tophat.bam
ENCFF572GSB	V19	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS602RSX	['brenton-graveley:CSDA_BGKLV24_12_17603']	ENCLB646XGP	['brenton-graveley:L-CSDA_BGKLV24_12_17603']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR306EIU/rep2_1/ENCSR306EIU_rep2_1_tophat.bam
ENCFF839TQH	V24	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS602RSX	['brenton-graveley:CSDA_BGKLV24_12_17603']	ENCLB646XGP	['brenton-graveley:L-CSDA_BGKLV24_12_17603']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR306EIU/rep2_1/ENCSR306EIU_rep2_1_tophat.bam
ENCFF796IIV	V24	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS889HVK	['brenton-graveley:CSDA_BGKLV24_11_17602']	ENCLB057EUN	['brenton-graveley:L-CSDA_BGKLV24_11_17602']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR306EIU/rep1_1/ENCSR306EIU_rep1_1_tophat.bam
ENCFF516WEP	V24	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS889HVK	['brenton-graveley:CSDA_BGKLV24_11_17602']	ENCLB057EUN	['brenton-graveley:L-CSDA_BGKLV24_11_17602']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR306EIU/rep1_1/ENCSR306EIU_rep1_1_star_genome.bam
ENCFF935FMV	V24	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS889HVK	['brenton-graveley:CSDA_BGKLV24_11_17602']	ENCLB057EUN	['brenton-graveley:L-CSDA_BGKLV24_11_17602']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR306EIU/rep1_1/ENCSR306EIU_rep1_1_star_anno.bam
ENCFF752CBR	V24	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS602RSX	['brenton-graveley:CSDA_BGKLV24_12_17603']	ENCLB646XGP	['brenton-graveley:L-CSDA_BGKLV24_12_17603']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR306EIU/rep2_1/ENCSR306EIU_rep2_1_star_anno.bam
ENCFF874HKS	V24	K562	/targets/YBX3-human/	ENCSR306EIU	['brenton-graveley:CSDA_BGKLV24']	ENCBS602RSX	['brenton-graveley:CSDA_BGKLV24_12_17603']	ENCLB646XGP	['brenton-graveley:L-CSDA_BGKLV24_12_17603']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR306EIU/rep2_1/ENCSR306EIU_rep2_1_star_genome.bam
ENCFF872CVZ		HepG2	/targets/UBE2L3-human/	ENCSR424JSU	['brenton-graveley:UBE2L3-BGHLV23']	ENCBS336RRO	['brenton-graveley:UBE2L3-BGHLV23-57']	ENCLB888YZO	['brenton-graveley:L-UBE2L3-BGHLV23-57']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set23/tophat/novel_juncs/UBE2L3-BGHLV23-57/merged.bam
ENCFF442NSN		HepG2	/targets/UBE2L3-human/	ENCSR424JSU	['brenton-graveley:UBE2L3-BGHLV23']	ENCBS349HZS	['brenton-graveley:UBE2L3-BGHLV23-58']	ENCLB639LZN	['brenton-graveley:L-UBE2L3-BGHLV23-58']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set23/tophat/novel_juncs/UBE2L3-BGHLV23-58/merged.bam
ENCFF022GVT	V19	HepG2	/targets/UBE2L3-human/	ENCSR424JSU	['brenton-graveley:UBE2L3-BGHLV23']	ENCBS336RRO	['brenton-graveley:UBE2L3-BGHLV23-57']	ENCLB888YZO	['brenton-graveley:L-UBE2L3-BGHLV23-57']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR424JSU/rep1_1/ENCSR424JSU_rep1_1_star_genome.bam
ENCFF269BVM	V19	HepG2	/targets/UBE2L3-human/	ENCSR424JSU	['brenton-graveley:UBE2L3-BGHLV23']	ENCBS336RRO	['brenton-graveley:UBE2L3-BGHLV23-57']	ENCLB888YZO	['brenton-graveley:L-UBE2L3-BGHLV23-57']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR424JSU/rep1_1/ENCSR424JSU_rep1_1_star_anno.bam
ENCFF416BYL	V19	HepG2	/targets/UBE2L3-human/	ENCSR424JSU	['brenton-graveley:UBE2L3-BGHLV23']	ENCBS349HZS	['brenton-graveley:UBE2L3-BGHLV23-58']	ENCLB639LZN	['brenton-graveley:L-UBE2L3-BGHLV23-58']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR424JSU/rep2_1/ENCSR424JSU_rep2_1_star_genome.bam
ENCFF298GMW	V19	HepG2	/targets/UBE2L3-human/	ENCSR424JSU	['brenton-graveley:UBE2L3-BGHLV23']	ENCBS349HZS	['brenton-graveley:UBE2L3-BGHLV23-58']	ENCLB639LZN	['brenton-graveley:L-UBE2L3-BGHLV23-58']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR424JSU/rep2_1/ENCSR424JSU_rep2_1_star_anno.bam
ENCFF197VBU	V19	HepG2	/targets/UBE2L3-human/	ENCSR424JSU	['brenton-graveley:UBE2L3-BGHLV23']	ENCBS336RRO	['brenton-graveley:UBE2L3-BGHLV23-57']	ENCLB888YZO	['brenton-graveley:L-UBE2L3-BGHLV23-57']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR424JSU/rep1_1/ENCSR424JSU_rep1_1_tophat.bam
ENCFF304MJE	V19	HepG2	/targets/UBE2L3-human/	ENCSR424JSU	['brenton-graveley:UBE2L3-BGHLV23']	ENCBS349HZS	['brenton-graveley:UBE2L3-BGHLV23-58']	ENCLB639LZN	['brenton-graveley:L-UBE2L3-BGHLV23-58']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR424JSU/rep2_1/ENCSR424JSU_rep2_1_tophat.bam
ENCFF450DRZ		K562	/targets/DDX55-human/	ENCSR856CJK	['brenton-graveley:DDX55_BGKLV21']	ENCBS111GYT	['brenton-graveley:DDX55_BGKLV21_7_17560']	ENCLB992TEQ	['brenton-graveley:L-DDX55_BGKLV21_7_17560']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/DDX55_BGKLV21_7_17560/merged.bam
ENCFF804CRR		K562	/targets/DDX55-human/	ENCSR856CJK	['brenton-graveley:DDX55_BGKLV21']	ENCBS144YDQ	['brenton-graveley:DDX55_BGKLV21_8_17561']	ENCLB036KZM	['brenton-graveley:L-DDX55_BGKLV21_8_17561']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/DDX55_BGKLV21_8_17561/merged.bam
ENCFF872MZO	V19	K562	/targets/DDX55-human/	ENCSR856CJK	['brenton-graveley:DDX55_BGKLV21']	ENCBS111GYT	['brenton-graveley:DDX55_BGKLV21_7_17560']	ENCLB992TEQ	['brenton-graveley:L-DDX55_BGKLV21_7_17560']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR856CJK/rep1_1/ENCSR856CJK_rep1_1_star_genome.bam
ENCFF552BFW	V19	K562	/targets/DDX55-human/	ENCSR856CJK	['brenton-graveley:DDX55_BGKLV21']	ENCBS111GYT	['brenton-graveley:DDX55_BGKLV21_7_17560']	ENCLB992TEQ	['brenton-graveley:L-DDX55_BGKLV21_7_17560']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR856CJK/rep1_1/ENCSR856CJK_rep1_1_star_anno.bam
ENCFF109SXS	V19	K562	/targets/DDX55-human/	ENCSR856CJK	['brenton-graveley:DDX55_BGKLV21']	ENCBS144YDQ	['brenton-graveley:DDX55_BGKLV21_8_17561']	ENCLB036KZM	['brenton-graveley:L-DDX55_BGKLV21_8_17561']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR856CJK/rep2_1/ENCSR856CJK_rep2_1_star_genome.bam
ENCFF899HLS	V19	K562	/targets/DDX55-human/	ENCSR856CJK	['brenton-graveley:DDX55_BGKLV21']	ENCBS144YDQ	['brenton-graveley:DDX55_BGKLV21_8_17561']	ENCLB036KZM	['brenton-graveley:L-DDX55_BGKLV21_8_17561']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR856CJK/rep2_1/ENCSR856CJK_rep2_1_star_anno.bam
ENCFF186OHH	V19	K562	/targets/DDX55-human/	ENCSR856CJK	['brenton-graveley:DDX55_BGKLV21']	ENCBS111GYT	['brenton-graveley:DDX55_BGKLV21_7_17560']	ENCLB992TEQ	['brenton-graveley:L-DDX55_BGKLV21_7_17560']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR856CJK/rep1_1/ENCSR856CJK_rep1_1_tophat.bam
ENCFF309LFZ	V19	K562	/targets/DDX55-human/	ENCSR856CJK	['brenton-graveley:DDX55_BGKLV21']	ENCBS144YDQ	['brenton-graveley:DDX55_BGKLV21_8_17561']	ENCLB036KZM	['brenton-graveley:L-DDX55_BGKLV21_8_17561']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR856CJK/rep2_1/ENCSR856CJK_rep2_1_tophat.bam
ENCFF693ZJX		K562	/targets/NUSAP1-human/	ENCSR927XBT	['brenton-graveley:NUSAP1_BGKLV21']	ENCBS897EVB	['brenton-graveley:NUSAP1_BGKLV21_38_17579']	ENCLB009EQT	['brenton-graveley:L-NUSAP1_BGKLV21_38_17579']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/NUSAP1_BGKLV21_38_17579/merged.bam
ENCFF204APB		K562	/targets/NUSAP1-human/	ENCSR927XBT	['brenton-graveley:NUSAP1_BGKLV21']	ENCBS237RBH	['brenton-graveley:NUSAP1_BGKLV21_37_17578']	ENCLB859EBA	['brenton-graveley:L-NUSAP1_BGKLV21_37_17578']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/NUSAP1_BGKLV21_37_17578/merged.bam
ENCFF011SYE		K562	/targets/LIN28B-human/	ENCSR598YQX	['brenton-graveley:LIN28B_BGKLV21']	ENCBS521FNT	['brenton-graveley:LIN28B_BGKLV21_28_17574']	ENCLB650MYJ	['brenton-graveley:L-LIN28B_BGKLV21_28_17574']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/LIN28B_BGKLV21_28_17574/merged.bam
ENCFF655PJZ		K562	/targets/LIN28B-human/	ENCSR598YQX	['brenton-graveley:LIN28B_BGKLV21']	ENCBS396JPQ	['brenton-graveley:LIN28B_BGKLV21_27_17573']	ENCLB980OFO	['brenton-graveley:L-LIN28B_BGKLV21_27_17573']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/LIN28B_BGKLV21_27_17573/merged.bam
ENCFF162PMY		HepG2	/targets/FUS-human/	ENCSR927JXU	['brenton-graveley:FUS_BGHLV14']	ENCBS489ZQI	['brenton-graveley:FUS_BGHLV14-21']	ENCLB351TMV	['brenton-graveley:L-FUS_BGHLV14-21']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set14/tophat/novel_juncs/FUS_BGHLV14-21/merged.bam
ENCFF382DXD		HepG2	/targets/FUS-human/	ENCSR927JXU	['brenton-graveley:FUS_BGHLV14']	ENCBS877WFF	['brenton-graveley:FUS_BGHLV14-22']	ENCLB097NXC	['brenton-graveley:L-FUS_BGHLV14-22']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set14/tophat/novel_juncs/FUS_BGHLV14-22/merged.bam
ENCFF221FOK	V19	HepG2	/targets/FUS-human/	ENCSR927JXU	['brenton-graveley:FUS_BGHLV14']	ENCBS489ZQI	['brenton-graveley:FUS_BGHLV14-21']	ENCLB351TMV	['brenton-graveley:L-FUS_BGHLV14-21']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR927JXU/rep1_1/ENCSR927JXU_rep1_1_tophat.bam
ENCFF080DFP	V19	HepG2	/targets/FUS-human/	ENCSR927JXU	['brenton-graveley:FUS_BGHLV14']	ENCBS877WFF	['brenton-graveley:FUS_BGHLV14-22']	ENCLB097NXC	['brenton-graveley:L-FUS_BGHLV14-22']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR927JXU/rep2_1/ENCSR927JXU_rep2_1_tophat.bam
ENCFF817XJF	V19	HepG2	/targets/FUS-human/	ENCSR927JXU	['brenton-graveley:FUS_BGHLV14']	ENCBS489ZQI	['brenton-graveley:FUS_BGHLV14-21']	ENCLB351TMV	['brenton-graveley:L-FUS_BGHLV14-21']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR927JXU/rep1_1/ENCSR927JXU_rep1_1_star_genome.bam
ENCFF266GJQ	V19	HepG2	/targets/FUS-human/	ENCSR927JXU	['brenton-graveley:FUS_BGHLV14']	ENCBS489ZQI	['brenton-graveley:FUS_BGHLV14-21']	ENCLB351TMV	['brenton-graveley:L-FUS_BGHLV14-21']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR927JXU/rep1_1/ENCSR927JXU_rep1_1_star_anno.bam
ENCFF114BVN	V19	HepG2	/targets/FUS-human/	ENCSR927JXU	['brenton-graveley:FUS_BGHLV14']	ENCBS877WFF	['brenton-graveley:FUS_BGHLV14-22']	ENCLB097NXC	['brenton-graveley:L-FUS_BGHLV14-22']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR927JXU/rep2_1/ENCSR927JXU_rep2_1_star_genome.bam
ENCFF730ASX	V19	HepG2	/targets/FUS-human/	ENCSR927JXU	['brenton-graveley:FUS_BGHLV14']	ENCBS877WFF	['brenton-graveley:FUS_BGHLV14-22']	ENCLB097NXC	['brenton-graveley:L-FUS_BGHLV14-22']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR927JXU/rep2_1/ENCSR927JXU_rep2_1_star_anno.bam
